구분,재활용
남자,75.7
여자,68.6
15-19세,76.2
20-29세,80.2
30-39세,87.0
40-49세,80.5
50-59세,74.7
60세이상,61.2
무학,55.3
초등학교,58.7
중학교,70.5
고등학교,78.8
전문대,84.0
대학교,83.4
대학원,85.2
관리/전문가,86.3
사무종사자,85.9
판매종사자,77.1
기능/기타,66.2
비경제활동인구,71.0
미혼,78.2
기혼,76.2
사별,61.0
이혼,76.1
가구주,74.0
단독주택,54.5
아파트,92.4
연립주택,77.6
다세대주택,77.9
기타,63.0
1인가구,67.9
1세대가구,68.6
2세대가구,82.4
3세대가구,72.2
비혈연가구,80.0
